Data,Temperatura Máxima (°C),Temperatura Mínima (°C),Precipitação Total (mm)
2025-11-02 00:00:00-03:00,21.7,18.1,22.5
2025-11-03 00:00:00-03:00,26.2,18.4,9.1
2025-11-04 00:00:00-03:00,28.5,17.6,3.0
2025-11-05 00:00:00-03:00,28.7,19.2,4.8
2025-11-06 00:00:00-03:00,21.4,15.9,1.3
2025-11-07 00:00:00-03:00,29.2,14.2,0.8
2025-11-08 00:00:00-03:00,25.8,16.5,7.2
2025-11-09 00:00:00-03:00,21.4,14.5,0.4
2025-11-10 00:00:00-03:00,22.9,12.5,0.0
2025-11-11 00:00:00-03:00,27.1,12.3,0.0
2025-11-12 00:00:00-03:00,31.4,14.3,0.0
2025-11-13 00:00:00-03:00,28.4,18.9,1.3
2025-11-14 00:00:00-03:00,23.1,18.0,13.2
2025-11-15 00:00:00-03:00,25.6,17.0,0.0
2025-11-16 00:00:00-03:00,24.5,18.5,11.0
2025-11-17 00:00:00-03:00,26.8,19.3,21.6
2025-11-18 00:00:00-03:00,25.3,18.0,12.5
2025-11-19 00:00:00-03:00,24.7,15.1,0.1
2025-11-20 00:00:00-03:00,23.6,14.7,0.2
2025-11-21 00:00:00-03:00,30.7,13.8,0.0
2025-11-22 00:00:00-03:00,29.7,18.9,2.0
2025-11-23 00:00:00-03:00,25.8,17.9,13.1
2025-11-24 00:00:00-03:00,23.4,17.0,27.0
2025-11-25 00:00:00-03:00,23.0,15.4,1.0
2025-11-26 00:00:00-03:00,22.7,14.8,0.0
2025-11-27 00:00:00-03:00,26.9,12.3,0.0
2025-11-28 00:00:00-03:00,30.6,16.4,0.9
2025-11-29 00:00:00-03:00,31.9,17.6,0.0
2025-11-30 00:00:00-03:00,34.3,18.7,0.1
